Site, Temperature (C),Relative Humidity (%),Date_Time,,,
Auburn_CA,13.90,60.40,2025-05-08-800,,,
Auburn_CA,15.73,55.29,2025-05-08-900,,,
Auburn_CA,18.11,55.66,2025-05-08-1000,,,
Auburn_CA,21.32,36.73,2025-05-08-1100,,,
Auburn_CA,23.46,36.47,2025-05-08-1200,,,
Auburn_CA,25.90,30.54,2025-05-08-1300,,,
Auburn_CA,27.30,30.27,2025-05-08-1400,,,
Auburn_CA,27.97,28.02,2025-05-08-1500,,,
Auburn_CA,28.60,28.63,2025-05-08-1600,,,
Auburn_CA,28.57,25.11,2025-05-08-1700,,,
Auburn_CA,28.20,25.61,2025-05-08-1900,,,
Auburn_CA,27.72,28.22,2025-05-08-2000,,,
Auburn_CA,26.14,31.14,2025-05-08-2100,,,
Auburn_CA,22.12,41.04,2025-05-08-2200,,,
Auburn_CA,18.63,47.90,2025-05-08-2300,,,
Auburn_CA,16.32,54.40,2025-05-09-800,,,
Auburn_CA,16.32,54.40,2025-05-09-900,,,
Auburn_CA,22.36,41.01,2025-05-09-1000,,,
Auburn_CA,24.97,35.62,2025-05-09-1100,,,
Auburn_CA,26.79,30.63,2025-05-09-1200,,,
Auburn_CA,27.69,30.31,2025-05-09-1300,,,
Auburn_CA,28.30,28.87,2025-05-09-1400,,,
Auburn_CA,28.32,26.96,2025-05-09-1500,,,
Auburn_CA,28.58,26.19,2025-05-09-1600,,,
Merced_CA,33.87,25.62,2025-05-08-800,,,
Merced_CA,43.17,16.67,2025-05-08-900,,,
Merced_CA,37.42,20.58,2025-05-08-1000,,,
Merced_CA,29.36,30.03,2025-05-08-1100,,,
Merced_CA,28.07,34.11,2025-05-08-1200,,,
Merced_CA,28.80,33.73,2025-05-08-1300,,,
Merced_CA,29.62,32.01,2025-05-08-1400,,,
Merced_CA,29.80,28.02,2025-05-08-1500,,,
Merced_CA,30.75,28.46,2025-05-08-1600,,,
Merced_CA,29.87,26.28,2025-05-08-1700,,,
Merced_CA,27.98,30.73,2025-05-08-1900,,,
Merced_CA,26.34,37.24,2025-05-08-2000,,,
Merced_CA,19.61,53.49,2025-05-08-2100,,,
Merced_CA,17.02,66.71,2025-05-08-2200,,,
Merced_CA,16.91,67.17,2025-05-08-2300,,,
Merced_CA,39.98,20.19,2025-05-09-800,,,
Merced_CA,44.57,15.68,2025-05-09-900,,,
Merced_CA,29.55,30.22,2025-05-09-1000,,,
Merced_CA,28.71,32.08,2025-05-09-1100,,,
Merced_CA,28.44,34.61,2025-05-09-1200,,,
Merced_CA,29.68,32.89,2025-05-09-1300,,,
Merced_CA,29.99,30.73,2025-05-09-1400,,,
Merced_CA,30.57,27.11,2025-05-09-1500,,,
Merced_CA,30.58,26.46,2025-05-09-1600,,,
Merced_CA,30.44,25.19,2025-05-09-1700,,,